Time,Instance Count (active),Instance Count (idle)
Thu Dec 07 2023 09:00:00 ,1,1
Thu Dec 07 2023 09:01:00 ,1,1
Thu Dec 07 2023 09:02:00 ,1,1
Thu Dec 07 2023 09:03:00 ,1,1
Thu Dec 07 2023 09:04:00 ,1,1
Thu Dec 07 2023 09:05:00 ,1,1
Thu Dec 07 2023 09:06:00 ,1,1
Thu Dec 07 2023 09:07:00 ,1,1
Thu Dec 07 2023 09:08:00 ,1,1
Thu Dec 07 2023 09:09:00 ,1,1
Thu Dec 07 2023 09:10:00 ,1,1
Thu Dec 07 2023 09:11:00 ,1,1
Thu Dec 07 2023 09:12:00 ,1,1
Thu Dec 07 2023 09:13:00 ,1,1
Thu Dec 07 2023 09:14:00 ,1,1
Thu Dec 07 2023 09:15:00 ,1,1
Thu Dec 07 2023 09:16:00 ,1,1
Thu Dec 07 2023 09:17:00 ,1,1
Thu Dec 07 2023 09:18:00 ,1,1
Thu Dec 07 2023 09:19:00 ,1,1
Thu Dec 07 2023 09:20:00 ,1,1
Thu Dec 07 2023 09:21:00 ,1,1
Thu Dec 07 2023 09:22:00 ,1,1
Thu Dec 07 2023 09:23:00 ,1,1
Thu Dec 07 2023 09:24:00 ,1,1
Thu Dec 07 2023 09:25:00 ,1,1
Thu Dec 07 2023 09:26:00 ,1,1
Thu Dec 07 2023 09:27:00 ,1,1
Thu Dec 07 2023 09:28:00 ,1,1
Thu Dec 07 2023 09:29:00 ,1,1
Thu Dec 07 2023 09:30:00 ,1,1
Thu Dec 07 2023 09:31:00 ,1,1
Thu Dec 07 2023 09:32:00 ,1,1
Thu Dec 07 2023 09:33:00 ,1,1
Thu Dec 07 2023 09:34:00 ,1,1
Thu Dec 07 2023 09:35:00 ,1,1
Thu Dec 07 2023 09:36:00 ,1,1
Thu Dec 07 2023 09:37:00 ,1,1
Thu Dec 07 2023 09:38:00 ,1,1
Thu Dec 07 2023 09:39:00 ,1,1
